Symbol,Company Name,Industry,Series
CONCOR,Container Corporation of India Ltd.,SERVICES,EQ
COROMANDEL,Coromandel International Ltd.,FERTILISERS & PESTICIDES,EQ
CORPBANK,Corporation Bank,FINANCIAL SERVICES,EQ
COX&KINGS,Cox & Kings Ltd.,SERVICES,EQ
CREDITACC,CreditAccess Grameen Ltd.,FINANCIAL SERVICES,EQ
CROMPTON,Crompton Greaves Consumer Electricals Ltd.,CONSUMER GOODS,EQ
CUMMINSIND,Cummins India Ltd.,INDUSTRIAL MANUFACTURING,EQ
CYIENT,Cyient Ltd.,IT,EQ
DBCORP,D.B.Corp Ltd.,MEDIA & ENTERTAINMENT,EQ
DCBBANK,DCB Bank Ltd.,FINANCIAL SERVICES,EQ
DCMSHRIRAM,DCM Shriram Ltd.,CONSUMER GOODS,EQ
DLF,DLF Ltd.,CONSTRUCTION,EQ
DABUR,Dabur India Ltd.,CONSUMER GOODS,EQ
DALBHARAT,Dalmia Bharat Ltd.,CEMENT & CEMENT PRODUCTS,EQ
DEEPAKFERT,Deepak Fertilisers & Petrochemicals Corp. Ltd.,CHEMICALS,EQ
DEEPAKNTR,Deepak Nitrite Ltd.,CHEMICALS,EQ
DELTACORP,Delta Corp Ltd.,SERVICES,EQ
DHFL,Dewan Housing Finance Corporation Ltd.,FINANCIAL SERVICES,EQ
DBL,Dilip Buildcon Ltd.,CONSTRUCTION,EQ
DISHTV,Dish TV India Ltd.,MEDIA & ENTERTAINMENT,EQ
DCAL,Dishman Carbogen Amcis Ltd.,PHARMA,EQ
DIVISLAB,Divi's Laboratories Ltd.,PHARMA,EQ
DIXON,Dixon Technologies (India) Ltd.,CONSUMER GOODS,EQ
LALPATHLAB,Dr. Lal Path Labs Ltd.,HEALTHCARE SERVICES,EQ
DRREDDY,Dr. Reddy's Laboratories Ltd.,PHARMA,EQ
EIDPARRY,E.I.D. Parry (India) Ltd.,FERTILISERS & PESTICIDES,EQ
EIHOTEL,EIH Ltd.,SERVICES,EQ
EDELWEISS,Edelweiss Financial Services Ltd.,FINANCIAL SERVICES,EQ
EICHERMOT,Eicher Motors Ltd.,AUTOMOBILE,EQ
ELGIEQUIP,Elgi Equipments Ltd.,INDUSTRIAL MANUFACTURING,EQ
EMAMILTD,Emami Ltd.,CONSUMER GOODS,EQ
ENDURANCE,Endurance Technologies Ltd.,AUTOMOBILE,EQ
ENGINERSIN,Engineers India Ltd.,CONSTRUCTION,EQ
EQUITAS,Equitas Holdings Ltd.,FINANCIAL SERVICES,EQ
ERIS,Eris Lifesciences Ltd.,PHARMA,EQ
ESCORTS,Escorts Ltd.,AUTOMOBILE,EQ
ESSELPACK,Essel Propack Ltd.,INDUSTRIAL MANUFACTURING,EQ
EXIDEIND,Exide Industries Ltd.,AUTOMOBILE,EQ
FDC,FDC Ltd.,PHARMA,EQ
FEDERALBNK,Federal Bank Ltd.,FINANCIAL SERVICES,EQ
FINEORG,Fine Organic Industries Ltd.,CHEMICALS,EQ
FINCABLES,Finolex Cables Ltd.,INDUSTRIAL MANUFACTURING,EQ
FINPIPE,Finolex Industries Ltd.,INDUSTRIAL MANUFACTURING,EQ
FSL,Firstsource Solutions Ltd.,IT,EQ
FORTIS,Fortis Healthcare Ltd.,HEALTHCARE SERVICES,EQ
FCONSUMER,Future Consumer Ltd.,CONSUMER GOODS,EQ
FLFL,Future Lifestyle Fashions Ltd.,CONSUMER GOODS,EQ
FRETAIL,Future Retail Ltd.,CONSUMER GOODS,EQ
GAIL,GAIL (India) Ltd.,ENERGY,EQ
GEPIL,GE Power India Ltd.,INDUSTRIAL MANUFACTURING,EQ
GET&D,GE T&D India Ltd.,INDUSTRIAL MANUFACTURING,EQ
GHCL,GHCL Ltd.,CHEMICALS,EQ
GMRINFRA,GMR Infrastructure Ltd.,CONSTRUCTION,EQ
GALAXYSURF,Galaxy Surfactants Ltd.,CHEMICALS,EQ
GDL,Gateway Distriparks Ltd.,SERVICES,EQ
GAYAPROJ,Gayatri Projects Ltd.,CONSTRUCTION,EQ
GICRE,General Insurance Corporation of India,FINANCIAL SERVICES,EQ
GILLETTE,Gillette India Ltd.,CONSUMER GOODS,EQ
GSKCONS,GlaxoSmithkline Consumer Healthcare Ltd.,CONSUMER GOODS,EQ
GLAXO,Glaxosmithkline Pharmaceuticals Ltd.,PHARMA,EQ
GLENMARK,Glenmark Pharmaceuticals Ltd.,PHARMA,EQ
GODFRYPHLP,Godfrey Phillips India Ltd.,CONSUMER GOODS,EQ
GODREJAGRO,Godrej Agrovet Ltd.,CONSUMER GOODS,EQ
GODREJCP,Godrej Consumer Products Ltd.,CONSUMER GOODS,EQ
GODREJIND,Godrej Industries Ltd.,CONSUMER GOODS,EQ
GODREJPROP,Godrej Properties Ltd.,CONSTRUCTION,EQ
GRANULES,Granules India Ltd.,PHARMA,EQ
GRAPHITE,Graphite India Ltd.,INDUSTRIAL MANUFACTURING,EQ
GRASIM,Grasim Industries Ltd.,CEMENT & CEMENT PRODUCTS,EQ
GESHIP,Great Eastern Shipping Co. Ltd.,SERVICES,EQ
GREAVESCOT,Greaves Cotton Ltd.,INDUSTRIAL MANUFACTURING,EQ
GRINDWELL,Grindwell Norton Ltd.,INDUSTRIAL MANUFACTURING,EQ
GRUH,Gruh Finance Ltd.,FINANCIAL SERVICES,EQ
GUJALKALI,Gujarat Alkalies & Chemicals Ltd.,CHEMICALS,EQ
GUJGASLTD,Gujarat Gas Ltd.,ENERGY,EQ
GMDCLTD,Gujarat Mineral Development Corporation Ltd.,METALS,EQ
GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Ltd.,CHEMICALS,EQ
GPPL,Gujarat Pipavav Port Ltd.,SERVICES,EQ
GSFC,Gujarat State Fertilizers & Chemicals Ltd.,FERTILISERS & PESTICIDES,EQ
GSPL,Gujarat State Petronet Ltd.,ENERGY,EQ
GULFOILLUB,Gulf Oil Lubricants India Ltd.,ENERGY,EQ
HEG,H.E.G. Ltd.,INDUSTRIAL MANUFACTURING,EQ
HCLTECH,HCL Technologies Ltd.,IT,EQ
HDFCAMC,HDFC Asset Management Company Ltd.,FINANCIAL SERVICES,EQ
HDFCBANK,HDFC Bank Ltd.,FINANCIAL SERVICES,EQ
HDFCLIFE,HDFC Life Insurance Company Ltd.,FINANCIAL SERVICES,EQ
HATHWAY,Hathway Cable & Datacom Ltd.,MEDIA & ENTERTAINMENT,EQ
HATSUN,Hatsun Agro Product Ltd.,CONSUMER GOODS,EQ
HAVELLS,Havells India Ltd.,CONSUMER GOODS,EQ
HEIDELBERG,HeidelbergCement India Ltd.,CEMENT & CEMENT PRODUCTS,EQ
HERITGFOOD,Heritage Foods Ltd.,CONSUMER GOODS,EQ
HEROMOTOCO,Hero MotoCorp Ltd.,AUTOMOBILE,EQ
HEXAWARE,Hexaware Technologies Ltd.,IT,EQ
HFCL,Himachal Fut Com Ltd.,TELECOM,EQ
HSCL,Himadri Speciality Chemical Ltd.,CHEMICALS,EQ
HIMATSEIDE,Himatsingka Seide Ltd.,TEXTILES,EQ
HINDALCO,Hindalco Industries Ltd.,METALS,EQ
HAL,Hindustan Aeronautics Ltd.,INDUSTRIAL MANUFACTURING,EQ
HINDCOPPER,Hindustan Copper Ltd.,METALS,EQ
HINDPETRO,Hindustan Petroleum Corporation Ltd.,ENERGY,EQ
HINDUNILVR,Hindustan Unilever Ltd.,CONSUMER GOODS,EQ
HINDZINC,Hindustan Zinc Ltd.,METALS,EQ
HONAUT,Honeywell Automation India Ltd.,INDUSTRIAL MANUFACTURING,EQ
HUDCO,Housing & Urban Development Corporation Ltd.,FINANCIAL SERVICES,EQ
HDFC,Housing Development Finance Corporation Ltd.,FINANCIAL SERVICES,EQ
ICICIBANK,ICICI Bank Ltd.,FINANCIAL SERVICES,EQ
ICICIGI,ICICI Lombard General Insurance Company Ltd.,FINANCIAL SERVICES,EQ
ICICIPRULI,ICICI Prudential Life Insurance Company Ltd.,FINANCIAL SERVICES,EQ
ISEC,ICICI Securities Ltd.,FINANCIAL SERVICES,EQ
ICRA,ICRA Ltd.,FINANCIAL SERVICES,EQ
IDBI,IDBI Bank Ltd.,FINANCIAL SERVICES,EQ
IDFCFIRSTB,IDFC First Bank Ltd.,FINANCIAL SERVICES,EQ
IDFC,IDFC Ltd.,FINANCIAL SERVICES,EQ
IFBIND,IFB Industries Ltd.,CONSUMER GOODS,EQ
IFCI,IFCI Ltd.,FINANCIAL SERVICES,EQ
IRB,IRB Infrastructure Developers Ltd.,CONSTRUCTION,EQ
IRCON,IRCON International Ltd.,CONSTRUCTION,EQ
ITC,ITC Ltd.,CONSUMER GOODS,EQ
ITDCEM,ITD Cementation India Ltd.,CONSTRUCTION,EQ
ITI,ITI Ltd.,TELECOM,EQ
INDIACEM,India Cements Ltd.,CEMENT & CEMENT PRODUCTS,EQ
ITDC,India Tourism Development Corporation Ltd.,SERVICES,EQ
IBULHSGFIN,Indiabulls Housing Finance Ltd.,FINANCIAL SERVICES,EQ
IBULISL,Indiabulls Integrated Services Ltd.,IT,EQ
IBREALEST,Indiabulls Real Estate Ltd.,CONSTRUCTION,EQ
IBVENTURES,Indiabulls Ventures Ltd.,FINANCIAL SERVICES,EQ
INDIANB,Indian Bank,FINANCIAL SERVICES,EQ
