Symbol,Company Name,Industry,Series
MOTILALOFS,Motilal Oswal Financial Services Ltd.,FINANCIAL SERVICES,EQ
MPHASIS,MphasiS Ltd.,IT,EQ
MUTHOOTFIN,Muthoot Finance Ltd.,FINANCIAL SERVICES,EQ
NATCOPHARM,NATCO Pharma Ltd.,PHARMA,EQ
NBCC,NBCC (India) Ltd.,CONSTRUCTION,EQ
NCC,NCC Ltd.,CONSTRUCTION,EQ
NESCO,NESCO Ltd.,SERVICES,EQ
NHPC,NHPC Ltd.,ENERGY,EQ
NIITTECH,NIIT Technologies Ltd.,IT,EQ
NLCINDIA,NLC India Ltd.,ENERGY,EQ
NMDC,NMDC Ltd.,METALS,EQ
NTPC,NTPC Ltd.,ENERGY,EQ
NH,Narayana Hrudayalaya Ltd.,HEALTHCARE SERVICES,EQ
NATIONALUM,National Aluminium Co. Ltd.,METALS,EQ
NFL,National Fertilizers Ltd.,FERTILISERS & PESTICIDES,EQ
NBVENTURES,Nava Bharat Ventures Ltd.,ENERGY,EQ
NAVINFLUOR,Navin Fluorine International Ltd.,CHEMICALS,EQ
NETWORK18,Network18 Media & Investments Ltd.,MEDIA & ENTERTAINMENT,EQ
NILKAMAL,Nilkamal Ltd.,INDUSTRIAL MANUFACTURING,EQ
OBEROIRLTY,Oberoi Realty Ltd.,CONSTRUCTION,EQ
ONGC,Oil & Natural Gas Corporation Ltd.,ENERGY,EQ
OIL,Oil India Ltd.,ENERGY,EQ
OMAXE,Omaxe Ltd.,CONSTRUCTION,EQ
OFSS,Oracle Financial Services Software Ltd.,IT,EQ
ORIENTCEM,Orient Cement Ltd.,CEMENT & CEMENT PRODUCTS,EQ
ORIENTELEC,Orient Electric Ltd.,CONSUMER GOODS,EQ
ORIENTBANK,Oriental Bank of Commerce,FINANCIAL SERVICES,EQ
PCJEWELLER,PC Jeweller Ltd.,CONSUMER GOODS,EQ
PIIND,PI Industries Ltd.,FERTILISERS & PESTICIDES,EQ
PNBHOUSING,PNB Housing Finance Ltd.,FINANCIAL SERVICES,EQ
PNCINFRA,PNC Infratech Ltd.,CONSTRUCTION,EQ
PTC,PTC India Ltd.,ENERGY,EQ
PVR,PVR Ltd.,MEDIA & ENTERTAINMENT,EQ
PAGEIND,Page Industries Ltd.,TEXTILES,EQ
PARAGMILK,Parag Milk Foods Ltd.,CONSUMER GOODS,EQ
PERSISTENT,Persistent Systems Ltd.,IT,EQ
PETRONET,Petronet LNG Ltd.,ENERGY,EQ
PFIZER,Pfizer Ltd.,PHARMA,EQ
PHILIPCARB,Phillips Carbon Black Ltd.,CHEMICALS,EQ
PHOENIXLTD,Phoenix Mills Ltd.,CONSTRUCTION,EQ
PIDILITIND,Pidilite Industries Ltd.,CHEMICALS,EQ
PEL,Piramal Enterprises Ltd.,PHARMA,EQ
PFC,Power Finance Corporation Ltd.,FINANCIAL SERVICES,EQ
POWERGRID,Power Grid Corporation of India Ltd.,ENERGY,EQ
PRAJIND,Praj Industries Ltd.,INDUSTRIAL MANUFACTURING,EQ
PRESTIGE,Prestige Estates Projects Ltd.,CONSTRUCTION,EQ
PRSMJOHNSN,Prism Johnson Ltd.,CEMENT & CEMENT PRODUCTS,EQ
PGHL,Procter & Gamble Health Ltd.,PHARMA,EQ
PGHH,Procter & Gamble Hygiene & Health Care Ltd.,CONSUMER GOODS,EQ
PNB,Punjab National Bank,FINANCIAL SERVICES,EQ
QUESS,Quess Corp Ltd.,SERVICES,EQ
RBLBANK,RBL Bank Ltd.,FINANCIAL SERVICES,EQ
RECLTD,REC Ltd.,FINANCIAL SERVICES,EQ
RITES,RITES Ltd.,CONSTRUCTION,EQ
RADICO,Radico Khaitan Ltd,CONSUMER GOODS,EQ
RAIN,Rain Industries Ltd,CHEMICALS,EQ
RAJESHEXPO,Rajesh Exports Ltd.,CONSUMER GOODS,EQ
RALLIS,Rallis India Ltd.,FERTILISERS & PESTICIDES,EQ
RKFORGE,Ramkrishna Forgings Ltd.,INDUSTRIAL MANUFACTURING,EQ
RCF,Rashtriya Chemicals & Fertilizers Ltd.,FERTILISERS & PESTICIDES,EQ
RAYMOND,Raymond Ltd.,TEXTILES,EQ
REDINGTON,Redington (India) Ltd.,SERVICES,EQ
RELAXO,Relaxo Footwears Ltd.,CONSUMER GOODS,EQ
RELCAPITAL,Reliance Capital Ltd.,FINANCIAL SERVICES,EQ
RCOM,Reliance Communications Ltd.,TELECOM,EQ
RHFL,Reliance Home Finance Ltd.,FINANCIAL SERVICES,EQ
RELIANCE,Reliance Industries Ltd.,ENERGY,EQ
RELINFRA,Reliance Infrastructure Ltd.,ENERGY,EQ
RNAM,Reliance Nippon Life Asset Management Ltd.,FINANCIAL SERVICES,EQ
RPOWER,Reliance Power Ltd.,ENERGY,EQ
REPCOHOME,Repco Home Finance Ltd.,FINANCIAL SERVICES,EQ
RUPA,Rupa & Company Ltd.,TEXTILES,EQ
SHK,S H Kelkar and Company Ltd.,CONSUMER GOODS,EQ
SBILIFE,SBI Life Insurance Company Ltd.,FINANCIAL SERVICES,EQ
SJVN,SJVN Ltd.,ENERGY,EQ
SKFINDIA,SKF India Ltd.,INDUSTRIAL MANUFACTURING,EQ
SREINFRA,SREI Infrastructure Finance Ltd.,FINANCIAL SERVICES,EQ
SRF,SRF Ltd.,TEXTILES,EQ
SADBHAV,Sadbhav Engineering Ltd.,CONSTRUCTION,EQ
SANOFI,Sanofi India Ltd.,PHARMA,EQ
SCHAEFFLER,Schaeffler India Ltd.,INDUSTRIAL MANUFACTURING,EQ
SIS,Security and Intelligence Services (India) Ltd.,SERVICES,EQ
SHANKARA,Shankara Building Products Ltd.,METALS,EQ
SHARDACROP,Sharda Cropchem Ltd.,FERTILISERS & PESTICIDES,EQ
SFL,Sheela Foam Ltd.,CONSUMER GOODS,EQ
SHILPAMED,Shilpa Medicare Ltd.,PHARMA,EQ
SCI,Shipping Corporation of India Ltd.,SERVICES,EQ
SHOPERSTOP,Shoppers Stop Ltd.,CONSUMER GOODS,EQ
SHREECEM,Shree Cement Ltd.,CEMENT & CEMENT PRODUCTS,EQ
RENUKA,Shree Renuka Sugars Ltd.,CONSUMER GOODS,EQ
SHRIRAMCIT,Shriram City Union Finance Ltd.,FINANCIAL SERVICES,EQ
SRTRANSFIN,Shriram Transport Finance Co. Ltd.,FINANCIAL SERVICES,EQ
SIEMENS,Siemens Ltd.,INDUSTRIAL MANUFACTURING,EQ
